zzz ***Sun Mar 7 06:38:00 EST 2021
Linux 5.3.18-lp152.60-default (proxima.internal.paredes.pw) 	03/07/2021 	_x86_64_	(20 CPU)

06:38:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:38:00 PM     0     13154    0.00    0.00    0.00    0.00    0.00     1  loop0
06:38:00 PM     0     14349    0.00    0.00    0.00    0.00    0.00     6  kworker/6:0-mm_percpu_wq
06:38:00 PM     0     18125    0.00    0.00    0.00    0.00    0.00    19  kworker/19:0-rcu_gp
06:38:00 PM     0     20238    0.00    0.00    0.00    0.00    0.00     9  kworker/u41:2-btrfs-worker-high
06:38:00 PM     0     23654    0.00    0.00    0.00    0.00    0.00    12  sshd
06:38:00 PM   501     23656    0.00    0.00    0.00    0.00    0.00     7  sshd
06:38:00 PM   501     23657    0.00    0.00    0.00    0.00    0.00     0  zsh
06:38:00 PM   501     23708    0.00    0.00    0.00    0.00    0.00    19  zsh
06:38:00 PM   501     23709    0.00    0.00    0.00    0.00    0.00     3  zsh
06:38:00 PM   501     23711    0.00    0.00    0.00    0.00    0.00    17  gitstatusd-linu
06:38:00 PM   501     26194    0.00    0.00    0.00    0.00    0.00    11  ssh
06:38:00 PM     0     29766    0.00    0.00    0.00    0.00    0.00     0  kworker/0:0-events_freezable
06:38:00 PM     0     30331    0.00    0.00    0.00    0.00    0.00    15  sshd
06:38:00 PM   501     30333    0.00    0.00    0.00    0.00    0.00     2  sshd
06:38:00 PM   501     30334    0.00    0.00    0.00    0.00    0.00    10  zsh
06:38:00 PM   501     30384    0.00    0.00    0.00    0.00    0.00     4  zsh
06:38:00 PM   501     30385    0.00    0.00    0.00    0.00    0.00     9  zsh
06:38:00 PM   501     30387    0.00    0.00    0.00    0.00    0.00     3  gitstatusd-linu
06:38:00 PM     0     30489    0.00    0.00    0.00    0.00    0.00    19  kworker/u41:0-xprtiod
06:38:00 PM     0     30645    0.00    0.00    0.00    0.00    0.00    15  kworker/15:1-rcu_gp
06:38:00 PM     0     30663    0.00    0.00    0.00    0.00    0.00    16  sshd
06:38:00 PM   501     30665    0.00    0.00    0.00    0.00    0.00    19  sshd
06:38:00 PM   501     30666    0.00    0.00    0.00    0.00    0.00     1  zsh
06:38:00 PM   501     30716    0.00    0.00    0.00    0.00    0.00     8  zsh
06:38:00 PM   501     30717    0.00    0.00    0.00    0.00    0.00    19  zsh
06:38:00 PM   501     30719    0.00    0.00    0.00    0.00    0.00     0  gitstatusd-linu
06:38:00 PM   501     32141    0.00    0.00    0.00    0.00    0.00     0  ruby.ruby2.5
zzz ***Sun Mar 7 06:38:30 EST 2021
Linux 5.3.18-lp152.60-default (proxima.internal.paredes.pw) 	03/07/2021 	_x86_64_	(20 CPU)

06:38:30 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:38:30 PM     0         1    0.00    0.00    0.00    0.00    0.00    11  systemd
06:38:30 PM     0         2    0.00    0.00    0.00    0.00    0.00     4  kthreadd
06:38:30 PM     0        10    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
06:38:30 PM     0        11    0.00    0.03    0.00    0.00    0.03     7  rcu_sched
06:38:30 PM     0        12    0.00    0.00    0.00    0.00    0.00     0  migration/0
06:38:30 PM     0        17    0.00    0.00    0.00    0.00    0.00     1  migration/1
06:38:30 PM     0        18    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
06:38:30 PM     0        23    0.00    0.00    0.00    0.00    0.00     2  migration/2
06:38:30 PM     0        24    0.00    0.00    0.00    0.00    0.00     2  ksoftirqd/2
06:38:30 PM     0        29    0.00    0.00    0.00    0.00    0.00     3  migration/3
06:38:30 PM     0        30    0.00    0.00    0.00    0.00    0.00     3  ksoftirqd/3
06:38:30 PM     0        35    0.00    0.00    0.00    0.00    0.00     4  migration/4
