zzz ***Sat Mar 6 11:22:08 EST 2021
Netid  State      Recv-Q  Send-Q                                  Local Address:Port                                        Peer Address:Port                                                                                                   
u_dgr  UNCONN     0       0                                                   * 96282                                                  * 20076                   users:(("rpc.mountd",pid=9111,fd=6)) <->                                       
u_str  ESTAB      0       0                                   /run/user/501/bus 57657                                                  * 49888                   users:(("dbus-daemon",pid=4256,fd=22)) <-> ino:57265 dev:0/68                  
u_str  ESTAB      0       0                                                   * 47203                                                  * 48245                   users:(("systemd",pid=2228,fd=19)) <->                                         
u_str  ESTAB      0       0                                                   * 63503                                                  * 56008                   users:(("kdeinit5",pid=4275,fd=9)) <->                                         
u_str  ESTAB      0       0                                                   * 57305                                                  * 64517                   users:(("ksmserver",pid=4315,fd=9)) <->                                        
u_str  ESTAB      0       0                                                   * 5658565                                                * 5658566                 users:(("master",pid=12165,fd=28)) <->                                         
u_str  ESTAB      0       0                                                   * 5658619                                                * 5658620                 users:(("master",pid=12165,fd=82)) <->                                         
u_str  ESTAB      0       0                                                   * 5658581                                                * 5658580                 users:(("master",pid=12165,fd=44)) <->                                         
u_str  ESTAB      0       0                                                   * 3568705                                                * 3568706                 users:(("unbound",pid=11851,fd=16)) <->                                        
u_str  ESTAB      0       0                                                   * 26506                                                  * 63533                   users:(("kwin_x11",pid=4318,fd=6)) <->                                         
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 14282                                                  * 58911                   users:(("dbus-daemon",pid=1408,fd=25)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 52530                                                  * 57663                   users:(("systemd-journal",pid=11264,fd=33),("systemd",pid=1,fd=128)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 17781                                                  * 38940                   users:(("avahi-daemon",pid=1496,fd=2),("avahi-daemon",pid=1496,fd=1)) -->      
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 16075                                                  * 45339                   users:(("dbus-daemon",pid=1408,fd=29)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                                                   * 63499                                                  * 63498                   users:(("klauncher",pid=4276,fd=9)) <->                                        
u_str  ESTAB      0       0                                                   * 30637                                                  * 34450                   users:(("obexd",pid=3174,fd=2)) -->                                            
