zzz ***Sun Mar 7 06:37:55 EST 2021
slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
files_cache          966    966    704   46    8 : tunables    0    0    0 : slabdata     21     21      0
signal_cache        2280   2280   1088   30    8 : tunables    0    0    0 : slabdata     76     76      0
sighand_cache       1349   1365   2112   15    8 : tunables    0    0    0 : slabdata     91     91      0
task_struct          781    816   9600    3    8 : tunables    0    0    0 : slabdata    272    272      0
cred_jar            9240   9240    192   42    2 : tunables    0    0    0 : slabdata    220    220      0
anon_vma_chain     26239  27008     64   64    1 : tunables    0    0    0 : slabdata    422    422      0
anon_vma           17158  17158     88   46    1 : tunables    0    0    0 : slabdata    373    373      0
pid                 6880   6880    128   32    1 : tunables    0    0    0 : slabdata    215    215      0
Acpi-Operand       52472  52472     72   56    1 : tunables    0    0    0 : slabdata    937    937      0
Acpi-ParseExt       3635   3822    104   39    1 : tunables    0    0    0 : slabdata     98     98      0
Acpi-State        305745 305745     80   51    1 : tunables    0    0    0 : slabdata   5995   5995      0
Acpi-Namespace     10710  10710     40  102    1 : tunables    0    0    0 : slabdata    105    105      0
numa_policy           30     30    136   30    1 : tunables    0    0    0 : slabdata      1      1      0
trace_event_file    3588   3588     88   46    1 : tunables    0    0    0 : slabdata     78     78      0
ftrace_event_field   7055   7055     48   85    1 : tunables    0    0    0 : slabdata     83     83      0
pool_workqueue      1193   1216    256   32    2 : tunables    0    0    0 : slabdata     38     38      0
radix_tree_node   513138 513492    584   28    4 : tunables    0    0    0 : slabdata  18339  18339      0
task_group           500    500    640   25    4 : tunables    0    0    0 : slabdata     20     20      0
vmap_area           9345  11200     64   64    1 : tunables    0    0    0 : slabdata    175    175      0
dma-kmalloc-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-512       32     32    512   32    4 : tunables    0    0    0 : slabdata      1      1      0
dma-kmalloc-256        0      0    256   32    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-128        0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-64         0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-192        0      0    192   42    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-96         0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-512      128    128    512   32    4 : tunables    0    0    0 : slabdata      4      4      0
